"","X","id","pow","df"
"1",0,"DK010",69.9,0.93
"2",1,"DK006",12.5,0.99
"3",2,"AM003",71.4,1
"4",3,"AM004",22.7,0.97
"5",4,"DK007",71.5,1
"6",5,"AR004",312,0.81
"7",6,"AR005",61.8,0.87
"8",7,"OS008",98.2,0.81
"9",8,"GP001",37.4,0.84
"10",9,"DK009",587,1
"11",10,"AR006",94.2,1
"12",11,"AD006",203,0.83
"13",12,"FZ002",9.27,0.84
"14",13,"FZ003",141,0.97
"15",14,"DK011",75.5,0.99
"16",15,"DK013",145,1
"17",16,"DK012",234,1
"18",17,"DM002",27.3,1
"19",18,"DM003",95.7,0.97
"20",19,"AM007",1.54,0.99
"21",20,"AM006",74.2,0.89
"22",21,"DM006",0.193,0.99
"23",22,"GP002",46,1
"24",23,"OS011",-89.3,1
"25",24,"AM008",96.2,1
"26",25,"FZ005",31.7,1
"27",26,"AM009",146,0.94
"28",27,"FZ007",38.8,0.85
"29",28,"AR007",58.7,0.86
"30",29,"DM001",126,0.71
"31",30,"OS006",126,0.14
"32",31,"LV001",190,0.5
"33",32,"AM005",28.9,0.62
"34",33,"DK004",191,0.54
"35",34,"DM005",191,0.17
"36",35,"FZ004",140,0.54
"37",36,"FZ006",278,0.73
"38",37,"FZ008",-4.23,0.57
"39",38,"FZ009",4.77,0.54
"40",39,"FZ010",80.6,0.18
"41",40,"FZ011",121,0.65
"42",41,"FZ013",-89.8,0.99
"43",42,"FZ015",71.9,0.16
"44",43,"FZ016",140,0.52
"45",44,"FZ017",213,1
"46",45,"FZ018",23.7,1
"47",46,"FZ019",22.1,0.73
"48",47,"FZ020",55.2,1
"49",48,"FZ021",120,0.92
"50",49,"EP002",69.1,0.98
"51",50,"EP003",103,0.58
"52",51,"EP004",-104,0.23
"53",52,"EP005",-34.1,0.87
"54",53,"DM008",359,1
